Submission ID,Common Name,Scientific Name,Taxonomic Order,Count,State/Province,County,Location ID,Location,Latitude,Longitude,Date,Time,Protocol,Duration (Min),All Obs Reported,Distance Traveled (km),Area Covered (ha),Number of Observers,Breeding Code,Observation Details,Checklist Comments,ML Catalog Numbers
S73724414,tinamou sp.,Tinamidae sp.,196,1,CO-ANT,,L10070668,BPI-068-CO,5.595065,-75.8718938,2020-09-07,06:22 AM,eBird - Stationary Count,10,1,,,1,,,"CN 40, db 39"
S79903092,Torrent Duck,Merganetta armata,416,1,CO-ANT,,L10073162,Puente De Verdún,5.5972334,-75.8352156,2019-10-24,12:10 PM,eBird - Traveling Count,12,1,.07,,2
S92973104,Torrent Duck,Merganetta armata,416,2,CO-ANT,,L16051293,Puente Jardín De Rocas,5.5959327,-75.821203,2021-08-08,05:29 PM,eBird - Stationary Count,17,1,,,2
S93231222,Torrent Duck,Merganetta armata,416,1,CO-ANT,,L16051293,Puente Jardín De Rocas,5.5959327,-75.821203,2021-08-14,05:26 PM,eBird - Traveling Count,18,1,.33,,2
S57544615,Colombian Chachalaca,Ortalis columbiana,786,2,CO-ANT,,L9329442,"Antioquia, CO (5.553, -75.871)",5.5533101,-75.8708754,2019-05-23,10:52 AM,eBird - Stationary Count,17,1,,,2
S57544616,Colombian Chachalaca,Ortalis columbiana,786,2,CO-ANT,,L9329444,"Antioquia, CO (5.557, -75.868)",5.5573573,-75.8678964,2019-05-23,11:19 AM,eBird - Stationary Count,6,1,,,2
S57544629,Colombian Chachalaca,Ortalis columbiana,786,2,CO-ANT,,L9329464,"Antioquia, CO (5.579, -75.853)",5.5787346,-75.8530621,2019-05-23,04:49 PM,eBird - Casual Observation,,0,,,2
S94723896,Colombian Chachalaca,Ortalis columbiana,786,3,CO-ANT,,L9329464,"Antioquia, CO (5.579, -75.853)",5.5787346,-75.8530621,2021-09-15,08:41 AM,eBird - Stationary Count,12,1,,,2,,,DB 46
S58379395,Colombian Chachalaca,Ortalis columbiana,786,1,CO-ANT,,L10038950,BPI-001-CO,5.6157408,-75.8493119,2019-07-22,05:49 AM,eBird - Stationary Count,12,1,,,2,,,BPI001
S58430282,Colombian Chachalaca,Ortalis columbiana,786,4,CO-ANT,,L10038950,BPI-001-CO,5.6157408,-75.8493119,2019-07-23,07:27 AM,eBird - Stationary Count,12,1,,,2,,4,BPI001
S65720151,Colombian Chachalaca,Ortalis columbiana,786,1,CO-ANT,,L10038950,BPI-001-CO,5.6157408,-75.8493119,2020-01-30,07:56 AM,eBird - Stationary Count,10,1,,,2
S73556781,Colombian Chachalaca,Ortalis columbiana,786,3,CO-ANT,,L10038950,BPI-001-CO,5.6157408,-75.8493119,2020-08-11,06:11 AM,eBird - Stationary Count,14,1,,,2,,3,"CN 45, DB 20.        001"
S72682439,Colombian Chachalaca,Ortalis columbiana,786,4,CO-ANT,,L10038950,BPI-001-CO,5.6157408,-75.8493119,2020-08-11,06:31 AM,eBird - Stationary Count,10,1,,,1,AC Ave Cantando
S73612165,Colombian Chachalaca,Ortalis columbiana,786,2,CO-ANT,,L10038950,BPI-001-CO,5.6157408,-75.8493119,2020-09-14,06:39 AM,eBird - Stationary Count,13,1,,,1,,,"CN 30, db 28"
S80844606,Colombian Chachalaca,Ortalis columbiana,786,3,CO-ANT,,L10038950,BPI-001-CO,5.6157408,-75.8493119,2021-02-09,08:22 AM,PROALAS Point Count (2 bands),10,1,,,2,,,"CN 70, DB 38"
