site;cafe
BPI-001-CO;1
BPI-002-CO;1
BPI-003-CO;1
BPI-004-CO;1
BPI-005-CO;1
BPI-006-CO;1
BPI-007-CO;1
BPI-008-CO;1
BPI-009-CO;1
BPI-010-CO;1
BPI-011-CO;1
BPI-012-CO;1
BPI-013-CO;1
BPI-014-CO;1
BPI-015-CO;1
BPI-016-CO;1
BPI-017-CO;1
BPI-018-CO;1
BPI-019-CO;1
BPI-020-CO;1
BPI-021-CO;1
BPI-022-CO;1
BPI-023-CO;1
BPI-024-CO;1
BPI-025-CO;1
BPI-026-CO;1
BPI-027-CO;1
BPI-028-CO;1
BPI-029-CO;1
BPI-030-CO;0
BPI-031-CO;1
BPI-032-CO;1
BPI-033-CO;1
BPI-034-CO;1
BPI-035-CO;1
BPI-036-CO;1
BPI-037-CO;1
BPI-038-CO;1
BPI-039-CO;1
BPI-040-CO;1
BPI-041-CO;1
BPI-042-CO;0
BPI-043-CO;1
BPI-044-CO;1
BPI-045-CO;1
BPI-046-CO;0
BPI-047-CO;1
BPI-048-CO;1
BPI-049-CO;1
BPI-050-CO;0
BPI-051-CO;0
BPI-052-CO;1
BPI-053-CO;1
BPI-054-CO;0
BPI-055-CO;1
BPI-056-CO;1
BPI-057-CO;1
BPI-058-CO;1
BPI-059-CO;1
BPI-060-CO;1
BPI-061-CO;1
BPI-062-CO;1
BPI-063-CO;0
BPI-064-CO;0
BPI-065-CO;1
BPI-066-CO;1
BPI-067-C0;1
BPI-068-CO;1
BPI-069-CO;1
BPI-070-CO;1
BPI-072-CO;0
BPI-073-CO;0
BPI-074-CO;0
BPI-075-CO;0
BPI-076-CO;0
BPI-077-CO;0
BPI-078-CO;0
BPI-079-CO;0
BPI-080-CO;0
BPI-081-CO;0
BPI-082-CO;0
BPI-083-CO;0
BPI-084-CO;1
BPI-085-CO;1
BPI-086-CO;0
BPI-087-CO;1
BPI-088-CO;1
BPI-089-CO;1
BPI-090-CO;0
BPI-091-CO;1
BPI-092-CO;1
BPI-093-CO;1
BPI-094-CO;1
BPI-095-CO;1
BPI-096-CO;0
BPI-097-CO;0
BPI-098-CO;1
BPI-099-CO;1
BPI-100-CO;0
BPI-101-CO;0
BPI-102-CO;0
BPI-103-CO;1
BPI-104-CO;1
BPI-105-CO;1
BPI-106-CO;0
BPI-107-CO;1
BPI-108-CO;0
BPI-109-CO;1
BPI-110-CO;1
BPI-111-CO;1
BPI-112-CO;1
BPI-113-CO;0
