"","local","long","lat","long.1","lat.1","optional"
"1","BPI-001-CO",-75.8493119,5.6157408,803673.11550301,1113041.05916124,TRUE
"2","BPI-002-CO",-75.8520128,5.6161992,803373.898325955,1113092.68220969,TRUE
"3","BPI-003-CO",-75.8497325,5.6136509,803625.79577326,1112809.979693,TRUE
"4","BPI-004-CO",-75.8464671,5.6179526,803989.175722507,1113284.8122965,TRUE
"5","BPI-005-CO",-75.8478971,5.6176153,803830.560815503,1113247.97382281,TRUE
"6","BPI-006-CO",-75.8470637,5.6170648,803922.751216971,1113186.78871786,TRUE
"7","BPI-007-CO",-75.8459324,5.613126,804046.828820061,1112750.63287475,TRUE
"8","BPI-008-CO",-75.8447648,5.6137892,804176.46864111,1112823.61654345,TRUE
"9","BPI-009-CO",-75.8450567,5.6084592,804142.334792074,1112234.01966149,TRUE
"10","BPI-010-CO",-75.8463787,5.6074795,803995.474206568,1112126.07074447,TRUE
"11","BPI-011-CO",-75.8364852,5.6024842,805090.433825446,1111570.10905714,TRUE
"12","BPI-012-CO",-75.8273631,5.5983673,806100.19298333,1111111.60898171,TRUE
"13","BPI-013-CO",-75.8288516,5.5981459,805935.129910467,1111087.6061318,TRUE
"14","BPI-014-CO",-75.8595934,5.627754,802537.55062045,1114373.63254058,TRUE
"15","BPI-015-CO",-75.8532429,5.6197049,803238.729709997,1113480.95721241,TRUE
"16","BPI-016-CO",-75.8571746,5.6280671,802805.754415672,1114407.45573731,TRUE
"17","BPI-017-CO",-75.8591573,5.6299916,802586.64300595,1114621.04814655,TRUE
"18","BPI-018-CO",-75.861635,5.6215686,802309.171446541,1113689.98370426,TRUE
"19","BPI-019-CO",-75.8594385,5.6220628,802552.799594509,1113743.91847055,TRUE
"20","BPI-020-CO",-75.864125,5.6184684,802032.130087726,1113347.82639873,TRUE
"21","BPI-021-CO",-75.865828,5.6175675,801843.06233525,1113248.72924335,TRUE
"22","BPI-022-CO",-75.8655328,5.6199698,801876.595173096,1113514.41518686,TRUE
"23","BPI-023-CO",-75.8633817,5.6202632,802115.12479102,1113546.14790617,TRUE
"24","BPI-024-CO",-75.8643005,5.6163466,802011.960571841,1113113.13402497,TRUE
"25","BPI-025-CO",-75.8626246,5.6167641,802197.8612801,1113158.75849816,TRUE
"26","BPI-026-CO",-75.861268,5.6163435,802348.087233767,1113111.76571198,TRUE
"27","BPI-027-CO",-75.8577423,5.6058917,802735.36724793,1111954.21349062,TRUE
"28","BPI-028-CO",-75.8578564,5.6044914,802722.249655845,1111799.32604462,TRUE
