;V1;V2;V3;V4;V5;V6;V7;V8;V9;V10;V11;V12;V13;V14;V15;V16;V17;V18;V19;V20
1;BPI-001-CO 2019-07-22 05:49 AM;BPI-001-CO 2019-07-22 08:13 AM;BPI-001-CO 2019-07-23 07:08 AM;BPI-001-CO 2019-07-23 07:27 AM;BPI-001-CO 2020-01-29 07:25 AM;BPI-001-CO 2020-01-29 07:41 AM;BPI-001-CO 2020-01-30 07:56 AM;BPI-001-CO 2020-01-30 08:17 AM;BPI-001-CO 2020-08-11 06:11 AM;BPI-001-CO 2020-08-11 06:31 AM;BPI-001-CO 2020-09-14 06:39 AM;BPI-001-CO 2020-09-14 07:29 AM;BPI-001-CO 2021-02-09 07:35 AM;BPI-001-CO 2021-02-09 08:22 AM;BPI-001-CO 2021-02-09 09:30 AM;BPI-001-CO 2021-03-17 07:44 AM;BPI-001-CO 2021-07-20 06:34 AM;BPI-001-CO 2021-07-20 07:40 AM;NA;NA
2;BPI-002-CO 2019-07-22 06:25 AM;BPI-002-CO 2019-07-22 06:43 AM;BPI-002-CO 2019-07-23 06:30 AM;BPI-002-CO 2019-07-23 06:53 AM;BPI-002-CO 2020-01-29 07:42 AM;BPI-002-CO 2020-01-29 08:03 AM;BPI-002-CO 2020-01-30 07:08 AM;BPI-002-CO 2020-01-30 07:28 AM;BPI-002-CO 2020-08-11 06:52 AM;BPI-002-CO 2020-08-11 07:08 AM;BPI-002-CO 2020-09-14 05:57 AM;BPI-002-CO 2020-09-14 07:12 AM;BPI-002-CO 2021-02-09 07:30 AM;NA;BPI-002-CO 2021-02-09 09:20 AM;BPI-002-CO 2021-03-17 07:29 AM;BPI-002-CO 2021-07-20 06:14 AM;BPI-002-CO 2021-07-20 07:26 AM;BPI-002-CO 2021-07-20 07:46 AM;NA
3;BPI-003-CO 2019-07-22 07:37 AM;BPI-003-CO 2019-07-22 07:51 AM;BPI-003-CO 2019-07-23 05:45 AM;BPI-003-CO 2019-07-23 06:01 AM;BPI-003-CO 2020-01-29 07:22 AM;BPI-003-CO 2020-01-29 08:05 AM;BPI-003-CO 2020-01-30 06:30 AM;BPI-003-CO 2020-01-30 06:49 AM;BPI-003-CO 2020-08-11 05:55 AM;BPI-003-CO 2020-08-11 06:35 AM;BPI-003-CO 2020-09-14 06:54 AM;BPI-003-CO 2020-09-14 09:08 AM;BPI-003-CO 2021-02-09 07:57 AM;BPI-003-CO 2021-02-09 09:13 AM;BPI-003-CO 2021-02-09 09:37 AM;BPI-003-CO 2021-03-18 08:12 AM;BPI-003-CO 2021-07-20 06:56 AM;BPI-003-CO 2021-07-20 07:28 AM;BPI-003-CO 2021-07-20 08:27 AM;NA
4;BPI-004-CO 2019-07-23 08:59 AM;BPI-004-CO 2019-07-23 09:19 AM;BPI-004-CO 2019-07-24 06:47 AM;BPI-004-CO 2019-07-24 07:06 AM;NA;NA;NA;NA;BPI-004-CO 2020-08-11 08:20 AM;BPI-004-CO 2020-08-11 08:59 AM;BPI-004-CO 2020-09-14 07:55 AM;BPI-004-CO 2020-09-14 08:40 AM;BPI-004-CO 2021-02-09 07:11 AM;BPI-004-CO 2021-02-09 08:25 AM;BPI-004-CO 2021-02-09 09:14 AM;BPI-004-CO 2021-03-18 07:34 AM;BPI-004-CO 2021-07-20 06:38 AM;BPI-004-CO 2021-07-20 07:29 AM;BPI-004-CO 2021-07-20 08:41 AM;NA
5;BPI-005-CO 2019-07-23 08:21 AM;BPI-005-CO 2019-07-23 08:43 AM;BPI-005-CO 2019-07-24 06:13 AM;BPI-005-CO 2019-07-24 06:26 AM;NA;NA;NA;NA;BPI-005-CO 2020-08-11 07:57 AM;BPI-005-CO 2020-08-11 08:35 AM;BPI-005-CO 2020-09-14 07:29 AM;BPI-005-CO 2020-09-14 08:08 AM;BPI-005-CO 2021-02-09 06:48 AM;BPI-005-CO 2021-02-09 08:47 AM;BPI-005-CO 2021-02-09 09:34 AM;BPI-005-CO 2021-03-18 07:13 AM;BPI-005-CO 2021-07-20 06:10 AM;BPI-005-CO 2021-07-20 07:49 AM;BPI-005-CO 2021-07-20 08:23 AM;NA
6;BPI-006-CO 2019-07-23 08:01 AM;BPI-006-CO 2019-07-24 05:50 AM;NA;NA;NA;NA;NA;NA;BPI-006-CO 2020-08-11 08:07 AM;BPI-006-CO 2020-08-11 08:43 AM;BPI-006-CO 2020-09-14 07:02 AM;BPI-006-CO 2020-09-14 07:50 AM;BPI-006-CO 2021-02-09 06:29 AM;BPI-006-CO 2021-02-09 07:55 AM;BPI-006-CO 2021-02-09 08:45 AM;BPI-006-CO 2021-03-18 06:52 AM;BPI-006-CO 2021-07-20 05:55 AM;BPI-006-CO 2021-07-20 07:04 AM;BPI-006-CO 2021-07-20 08:07 AM;NA
7;BPI-007-CO 2019-07-24 07:47 AM;BPI-007-CO 2019-07-24 09:09 AM;BPI-007-CO 2019-07-25 05:53 AM;BPI-007-CO 2019-07-25 07:14 AM;BPI-007-CO 2020-02-01 08:27 AM;BPI-007-CO 2020-02-01 08:46 AM;BPI-007-CO 2020-03-06 08:06 AM;BPI-007-CO 2020-03-06 09:09 AM;BPI-007-CO 2020-08-11 09:14 AM;BPI-007-CO 2020-08-11 09:47 AM;BPI-007-CO 2020-09-14 06:37 AM;BPI-007-CO 2020-09-14 08:46 AM;BPI-007-CO 2021-02-09 06:21 AM;BPI-007-CO 2021-02-09 06:51 AM;BPI-007-CO 2021-02-09 07:56 AM;BPI-007-CO 2021-03-18 08:29 AM;BPI-007-CO 2021-07-20 06:35 AM;BPI-007-CO 2021-07-20 08:15 AM;BPI-007-CO 2021-07-20 08:51 AM;NA
8;BPI-008-CO 2019-07-24 08:11 AM;BPI-008-CO 2019-07-24 08:26 AM;BPI-008-CO 2019-07-25 06:14 AM;BPI-008-CO 2019-07-25 06:34 AM;BPI-008-CO 2020-02-01 07:38 AM;BPI-008-CO 2020-02-01 08:00 AM;BPI-008-CO 2020-03-06 08:32 AM;BPI-008-CO 2020-03-06 08:51 AM;BPI-008-CO 2020-08-11 09:37 AM;BPI-008-CO 2020-08-11 09:52 AM;BPI-008-CO 2020-09-14 06:07 AM;BPI-008-CO 2020-09-14 09:12 AM;BPI-008-CO 2021-02-09 06:24 AM;BPI-008-CO 2021-02-09 06:48 AM;BPI-008-CO 2021-02-09 08:33 AM;BPI-008-CO 2021-03-18 08:52 AM;BPI-008-CO 2021-07-20 06:10 AM;BPI-008-CO 2021-07-20 08:38 AM;BPI-008-CO 2021-07-20 09:28 AM;NA
9;BPI-009-CO 2019-07-25 07:54 AM;BPI-009-CO 2019-07-25 08:15 AM;BPI-009-CO 2019-07-29 07:17 AM;BPI-009-CO 2019-07-29 07:30 AM;NA;NA;NA;NA;BPI-009-CO 2020-08-31 08:25 AM;BPI-009-CO 2020-08-31 08:46 AM;BPI-009-CO 2020-09-25 05:46 AM;BPI-009-CO 2020-09-25 06:07 AM;BPI-009-CO 2021-03-09 06:11 AM;BPI-009-CO 2021-03-30 07:38 AM;BPI-009-CO 2021-04-01 06:38 AM;BPI-009-CO 2021-04-01 07:04 AM;BPI-009-CO 2021-09-13 08:52 AM;BPI-009-CO 2021-09-13 09:15 AM;BPI-009-CO 2021-09-16 08:06 AM;BPI-009-CO 2021-09-16 08:22 AM
10;BPI-010-CO 2019-07-25 07:54 AM;BPI-010-CO 2019-07-25 08:12 AM;BPI-010-CO 2019-07-29 06:39 AM;BPI-010-CO 2019-07-29 06:50 AM;NA;NA;NA;NA;BPI-010-CO 2020-08-31 09:03 AM;BPI-010-CO 2020-08-31 09:18 AM;BPI-010-CO 2020-09-25 06:28 AM;BPI-010-CO 2020-09-25 06:44 AM;BPI-010-CO 2021-03-09 06:27 AM;BPI-010-CO 2021-03-30 08:02 AM;BPI-010-CO 2021-04-01 09:37 AM;BPI-010-CO 2021-04-01 10:03 AM;BPI-010-CO 2021-09-13 08:04 AM;BPI-010-CO 2021-09-13 08:36 AM;BPI-010-CO 2021-09-16 07:23 AM;BPI-010-CO 2021-09-16 07:39 AM
