lon,lat,BPI#,CH_mean_val,COVER_mean_val,PAI_mean_val,fhdPai_mean_val,RH50_mean_val
-75.849362,5.615645,BPI-001-CO,19.1296189,0.561287896,2.514807943,2.591602229,9.087263385
-75.852143,5.616197,BPI-002-CO,17.99480315,0.568935853,2.38236229,2.718575474,7.707808712
-75.849638,5.613637,BPI-003-CO,21.72641051,0.598108112,2.735940785,2.790386127,10.34058907
-75.846321,5.617989,BPI-004-CO,16.69259189,0.577674586,2.592621784,2.668067245,8.150501132
-75.847739,5.617856,BPI-005-CO,18.43744922,0.602229753,2.717341865,2.687016333,8.985540117
-75.846935,5.616716,BPI-006-CO,17.32222919,0.652077672,2.834219337,2.797825526,8.590865079
-75.846053,5.612968,BPI-007-CO,23.28884761,0.683359699,3.235519789,2.876627894,11.64835343
-75.844717,5.613765,BPI-008-CO,21.39406875,0.645854066,2.920267247,2.825240559,9.984673521
-75.845157,5.608432,BPI-009-CO,22.75593448,0.676759868,3.173006117,2.898124442,11.02401923
-75.846361,5.607467,BPI-010-CO,21.15428808,0.631124575,2.827196503,2.828241671,9.753334508
-75.836402,5.602756,BPI-011-CO,23.3202674,0.669016702,3.050344504,2.908541097,10.66880619
-75.827053,5.598071,BPI-012-CO,20.85814949,0.65066973,2.852429735,2.847355718,9.517595377
-75.828837,5.598097,BPI-013-CO,21.77336441,0.684225373,3.067444299,2.935930187,10.47695088
-75.85951,5.62757,BPI-014-CO,20.07434354,0.623876203,2.719726246,2.833641874,9.012108155
-75.85322,5.61975,BPI-015-CO,19.18410415,0.540811691,2.45863575,2.616446723,8.813440675
-75.857102,5.628017,BPI-016-CO,24.46454156,0.581740612,2.79899079,2.737754646,11.42394531
-75.859043,5.630124,BPI-017-CO,18.43966622,0.554727511,2.446341318,2.679546503,8.271605187
-75.861714,5.621535,BPI-018-CO,16.44698508,0.523395786,2.213266625,2.651295406,6.942692565
-75.859556,5.622075,BPI-019-CO,21.126462,0.561385846,2.500438461,2.711312596,9.700538379
-75.864036,5.618487,BPI-020-CO,21.01230359,0.635116002,2.959692427,2.86080549,9.762257768
-75.865867,5.617579,BPI-021-CO,22.7282254,0.661914197,3.207098957,2.870795965,11.17381317
-75.865477,5.619979,BPI-022-CO,22.04307434,0.644917724,3.038885754,2.820607698,10.2287445
-75.863367,5.620258,BPI-023-CO,17.43829581,0.517359956,2.154420861,2.630375999,7.200265614
-75.86446,5.61642,BPI-024-CO,21.84109688,0.570594611,2.792956617,2.694008115,10.85055592
-75.862638,5.616678,BPI-025-CO,19.63188063,0.567749756,2.652132342,2.693860413,9.752643628
-75.860884,5.616187,BPI-026-CO,20.76345254,0.54630874,2.448086386,2.694026232,9.412641055
-75.857707,5.605815,BPI-027-CO,22.97094154,0.615711378,2.869617075,2.758976387,10.44231935
-75.857588,5.604087,BPI-028-CO,20.39750634,0.589348482,2.620398795,2.740594331,9.05859537
-75.857107,5.60206,BPI-029-CO,20.24348276,0.624919968,2.792278823,2.831989798,9.230478146
-75.855183,5.600283,BPI-030-CO,18.3948834,0.646170092,2.738815806,2.838233361,8.076166036
-75.853807,5.598894,BPI-031-CO,18.76711538,0.615786767,2.623664879,2.802833059,7.855105813
-75.856129,5.597684,BPI-032-CO,20.53844263,0.645425955,2.956157512,2.842117794,9.190109602
-75.856837,5.599973,BPI-033-CO,18.71943894,0.565091769,2.353703437,2.754846434,7.582435498
-75.85802,5.598111,BPI-034-CO,21.2615391,0.625735423,2.956826842,2.826711908,9.89425415
