;9;10;11;12
BPI-001-CO;-1.787767011;-1.34926365;-1.233914815;-1.095451767
BPI-002-CO;-0.333904997;0.981493967;-0.403136522;-0.403136522
BPI-003-CO;-0.887757193;2.366124457;1.673809212;0.981493967
BPI-004-CO;-0.403136522;-0.641887831;-1.026220242;0.981493967
BPI-005-CO;0.635336345;-0.403136522;-0.956988718;1.673809212
BPI-006-CO;-0.818525669;0.289178723;-1.164683291;0.981493967
BPI-007-CO;1.673809212;-1.995461585;-0.403136522;-1.233914815
BPI-008-CO;2.019966834;2.712282079;1.673809212;-1.580072438
BPI-009-CO;0.289178723;-1.095451767;2.366124457;3.404597324
BPI-010-CO;-1.787767011;-1.787767011;1.673809212;-0.913955454
BPI-011-CO;3.058439701;-0.264673473;0.981493967;1.673809212
BPI-012-CO;-0.264673473;-0.158920893;-1.095451767;0.981493967
BPI-013-CO;1.119957016;1.519642522;0.981493967;0.981493967
BPI-014-CO;-2.480082256;-0.403136522;-2.480082256;-1.793578223
BPI-015-CO;3.058439701;0.635336345;-0.478647258;-1.649303962
BPI-016-CO;2.712282079;0.88731984;3.058439701;0.88731984
BPI-017-CO;-0.610831095;3.058439701;3.404597324;0.932351723
BPI-018-CO;3.404597324;-0.333904997;-1.649303962;0.981493967
BPI-019-CO;3.404597324;0.012252625;-1.026220242;-0.403136522
BPI-020-CO;2.366124457;-0.610831095;-0.403136522;0.981493967
BPI-021-CO;2.366124457;-0.333904997;-0.823891689;-1.30314634
BPI-022-CO;2.366124457;-0.818525669;-1.580072438;-1.649303962
BPI-023-CO;3.058439701;-0.333904997;0.981493967;0.981493967
BPI-024-CO;-0.749294144;1.673809212;-1.095451767;-0.541599571
BPI-025-CO;-0.403136522;0.981493967;0.981493967;-0.818525669
BPI-026-CO;-1.026220242;-1.319242395;0.981493967;-1.372377864
BPI-027-CO;-1.095451767;-1.095451767;-1.026220242;-1.095451767
BPI-028-CO;-0.956988718;-0.403136522;-0.541599571;-1.233914815
BPI-029-CO;-0.68006262;-0.0569789;-0.195441949;-0.403136522
BPI-030-CO;-0.610831095;2.366124457;0.106767213;0.106767213
BPI-031-CO;0.289178723;1.673809212;0.289178723;-0.818525669
BPI-032-CO;-2.480082256;-0.195441949;3.058439701;-0.818525669
BPI-033-CO;-0.264673473;-2.480082256;-0.403136522;0.289178723
BPI-034-CO;-2.480082256;-0.403136522;-1.787767011;-0.264673473
BPI-035-CO;-2.480082256;0.219947198;0.289178723;-1.095451767
BPI-036-CO;-2.480082256;0.587107291;3.058439701;3.058439701
BPI-037-CO;0.427641772;-2.480082256;3.404597324;3.404597324
BPI-038-CO;-1.164683291;3.404597324;0.190397851;0.190397851
BPI-039-CO;-0.126210424;-0.403136522;-1.441609389;-0.126210424
BPI-040-CO;-0.264673473;-1.095451767;3.058439701;3.404597324
BPI-041-CO;-0.0569789;-0.403136522;3.404597324;3.404597324
BPI-042-CO;-0.403136522;-0.639475409;-0.541599571;-1.372377864
BPI-043-CO;0.219947198;-0.195441949;0.081484149;0.358410247
BPI-044-CO;-1.441609389;-0.403136522;-1.026220242;-0.818525669
BPI-045-CO;-0.68006262;0.981493967;-1.580072438;-1.095451767
BPI-046-CO;0.012252625;3.404597324;-0.403136522;0.289178723
BPI-047-CO;-0.749294144;0.289178723;-0.472368046;-1.441609389
BPI-048-CO;0.012252625;1.259583401;3.404597324;3.404597324
BPI-049-CO;3.058439701;1.863010625;3.058439701;3.404597324
BPI-050-CO;-2.480082256;0.651652989;3.058439701;0.981493967
BPI-051-CO;0.150715674;-2.480082256;3.404597324;3.058439701
BPI-052-CO;-0.956988718;2.712282079;-1.026220242;-1.233914815
BPI-053-CO;3.058439701;-0.472368046;-1.026220242;-0.610831095
