;9;10;11;12
BPI-001-CO;-1.474945215;-1.149062389;-1.018709259;-0.204002194
BPI-002-CO;-0.806885422;-0.546179161;-1.703063193;-0.481002596
BPI-003-CO;-1.735651476;-1.083885824;-0.774297139;1.409117794
BPI-004-CO;0.626999012;1.262470523;0.21964548;0.952881838
BPI-005-CO;0.252233762;0.871411132;-0.204002194;0.431469317
BPI-006-CO;0.415175175;1.001764262;-0.643944009;0.138174773
BPI-007-CO;1.506882642;2.044589305;-1.051297541;1.050646686
BPI-008-CO;1.881647892;2.126060011;-1.54012178;1.47429436
BPI-009-CO;0.708469719;1.050646686;-1.882298747;-1.54012178
BPI-010-CO;1.327647088;1.572059207;-1.197944813;-0.937238552
BPI-011-CO;-1.719357334;1.409117794;-0.920944411;-0.595061585
BPI-012-CO;-0.02476664;0;0.203351339;0.464057599
BPI-013-CO;-0.611355726;0;-0.350649466;-0.057354922
BPI-014-CO;-0.920944411;-0.269178759;0.170763056;0
BPI-015-CO;-1.800828041;-1.246827237;-0.578767444;0.447763458
BPI-016-CO;0.072998208;0.708469719;1.555765066;0
BPI-017-CO;0.366292751;0.806234566;1.180999816;0
BPI-018-CO;1.60464749;1.523176783;-1.654180769;0.72476386
BPI-019-CO;1.22988224;2.028295164;-1.91488703;1.148411534
BPI-020-CO;-1.751945617;-0.497296737;-0.643944009;-0.350649466
BPI-021-CO;-1.40976865;0.040409926;-1.16535653;-0.578767444
BPI-022-CO;-1.067591683;0.480351741;-0.057354922;0.464057599
BPI-023-CO;-0.643944009;0.85511699;-0.041060781;0.235939621
BPI-024-CO;-1.40976865;0.252233762;-1.523827639;1.441706077
BPI-025-CO;-1.0350034;-0.008472498;-1.817122182;1.197293958
BPI-026-CO;-1.719357334;-0.2854729;-1.181650672;0.952881838
BPI-027-CO;-0.546179161;-0.187708053;-1.295709661;-0.920944411
BPI-028-CO;-0.448414313;0.21964548;-1.882298747;-1.67047491
BPI-029-CO;-1.735651476;-0.90465027;-0.399531889;-0.089943205
BPI-030-CO;-0.546179161;0.170763056;-2.028946019;0.317410328
BPI-031-CO;-0.106237346;0.480351741;-0.611355726;0.789940425
BPI-032-CO;-1.751945617;0.464057599;-1.556415921;1.36023537
BPI-033-CO;-1.344592085;-0.578767444;-0.122531487;-1.100179965
BPI-034-CO;-0.969826835;1.490588501;0.252233762;-0.692826433
BPI-035-CO;-1.393474508;0.903999414;-1.16535653;-1.523827639
BPI-036-CO;-1.0350034;-0.66023815;0.952881838;1.22988224
BPI-037-CO;-1.051297541;-0.66023815;0.235939621;0.512940023
BPI-038-CO;0.610704871;0.985470121;0.871411132;1.148411534
BPI-039-CO;1.246176381;1.490588501;0.398881034;-0.2854729
BPI-040-CO;-1.458651074;-0.15511977;-1.181650672;-0.920944411
BPI-041-CO;-1.833416323;-0.464708455;-1.491239356;-0.595061585
BPI-042-CO;-0.057354922;0.398881034;0.268527904;0.85511699
BPI-043-CO;-0.399531889;-0.106237346;-0.415826031;1.246176381
BPI-044-CO;-0.448414313;0.333704469;-0.790591281;1.669824055
BPI-045-CO;-1.100179965;0.920293555;-0.855767846;1.213588099
BPI-046-CO;-0.790591281;-0.138825629;0.757352143;1.132117392
BPI-047-CO;-1.474945215;1.311352947;-1.263121378;0.903999414
BPI-048-CO;1.718706479;0;-1.295709661;-1.002415117
BPI-049-CO;1.60464749;0;-1.572710063;-0.676532291
BPI-050-CO;-1.817122182;-1.605298345;-0.350649466;1.816471327
BPI-051-CO;-1.91488703;-1.589004204;-0.106237346;1.572059207
BPI-052-CO;-0.02476664;0.545528306;-0.057354922;0.301116186
BPI-053-CO;0.203351339;0.936587697;-0.611355726;1.441706077
BPI-054-CO;-0.089943205;0.480351741;0.757352143;1.115823251
BPI-055-CO;-1.083885824;-0.741708857;-1.246827237;1.669824055
BPI-056-CO;0.21964548;0.578116588;-1.866004606;1.523176783
BPI-057-CO;0.268527904;0.610704871;-1.589004204;1.751294762
BPI-058-CO;0.789940425;1.47429436;0.85511699;1.115823251
BPI-059-CO;0;1.441706077;-0.481002596;-0.204002194
BPI-060-CO;1.09952911;2.093471729;0.138174773;0.464057599
BPI-061-CO;0.838822849;1.164705675;0.529234164;0.072998208
BPI-062-CO;0.789940425;1.262470523;0.056704067;-0.366943607
BPI-063-CO;-0.578767444;1.132117392;-0.02476664;0.822528708
BPI-064-CO;-0.350649466;1.409117794;-0.252884618;0.545528306
BPI-065-CO;-1.002415117;0;0;0
BPI-066-CO;-1.344592085;0.317410328;0.952881838;1.311352947
BPI-067-CO;-1.654180769;-0.106237346;1.197293958;0.431469317
BPI-068-CO;-1.132768248;-0.872061987;-1.295709661;-0.464708455
BPI-069-CO;-1.735651476;-1.442356932;-1.181650672;-0.204002194
BPI-070-CO;-1.40976865;0;-1.458651074;0.072998208
BPI-072-CO;-0.627649868;0.431469317;0;1.946824457
BPI-073-CO;-1.018709259;1.718706479;-0.041060781;0
BPI-074-CO;0.366292751;1.115823251;0.105586491;1.523176783
BPI-075-CO;-0.497296737;0.692175577;-0.2854729;1.050646686
BPI-076-CO;-1.426062791;0.301116186;-0.823179563;0.447763458
BPI-077-CO;-0.888356128;-0.122531487;-1.246827237;0.121880632
BPI-078-CO;0.529234164;1.897942033;0.675881436;0
BPI-079-CO;-0.236590476;0.741058001;-0.806885422;0.610704871
